County Name,Water Body Name,Landmarks,Advisory Level,DetailStaticText,Advisory Detail Descr Display,Advisory Detail Descr,Advisory Level Description,Advisory Level,BloomInfo ID,Contact Org,County Name,Date Created,First Report,Landmarks,Rec Land Manager,RegionName,Report Updated On,Water Body Manager,Water Body Name,Latitude,Longitude
Alameda,Quarry Lakes; Lago Los Osos area,Lago Los Osos area,Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3293,East Bay Regional Park District,Alameda,7/8/2022,4/25/2022,Lago Los Osos area,East Bay Regional Park District,Region 2 - San Francisco Bay,10/18/2022,East Bay Regional Park District,Quarry Lakes; Lago Los Osos area,37.56897,-121.99665
Alameda,Shadow Cliffs Arroyo,dog access area,Caution,Detail,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.; Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.","Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.; Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3292,East Bay Regional Park District,Alameda,7/21/2022,1/3/2022,dog access area,East Bay Regional Park District,Region 2 - San Francisco Bay,10/18/2022,,Shadow Cliffs Arroyo,37.66736,-121.83953
Alameda,Shadow Cliffs Reservoir,,Last verified >90 days ago,Detail,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3115,East Bay Regional Park District,Alameda,1/7/2022,11/30/2021,,East Bay Regional Park District,Region 2 - San Francisco Bay,3/11/2022,Unknown,Shadow Cliffs Reservoir,37.668858,-121.83874
Alameda,Shadow Cliffs Reservoir,& Arroyo - dog access area,Last verified >90 days ago,Detail,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3114,East Bay Regional Park District,Alameda,1/7/2022,12/8/2021,& Arroyo - dog access area,East Bay Regional Park District,Region 2 - San Francisco Bay,4/15/2022,Unknown,Shadow Cliffs Reservoir,37.666807,-121.83669
Alameda,Shadow Cliffs Reservoir,lake-wide,None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Advisory is based on visual monitoring for indicators of harmful algal bloom.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Advisory is based on visual monitoring for indicators of harmful algal bloom.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3291,East Bay Regional Park District,Alameda,5/12/2022,1/7/2022,lake-wide,East Bay Regional Park District,Region 2 - San Francisco Bay,10/18/2022,,Shadow Cliffs Reservoir,37.668858,-121.83874
Alameda,South San Francisco Bay,Dumbarton Bridge,Last verified >30 days ago,Detail,"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to marinehab@oehha.ca.gov. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.","Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to marinehab@oehha.ca.gov. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3662,USFWS,Alameda,8/25/2022,8/25/2022,Dumbarton Bridge,,Region 2 - San Francisco Bay,8/25/2022,,South San Francisco Bay,37.510825,-122.11111
Alpine,Heenan Reservoir,Loading Zone,Last verified >90 days ago,Detail,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3315,California Department of Fish and Wildlife,Alpine,5/19/2022,5/11/2022,Loading Zone,California Department of Fish and Wildlife,Region 6 - Lahontan,6/23/2022,California Department of Fish and Wildlife,Heenan Reservoir,38.65369,-119.6653
Alpine,Indian Creek Reservoir,Auxiliary Dam (ICR-CB03),Warning,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,"NO SWIMMING. Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Do not eat shellfish from this waterbody.",Warning,3231,South Tahoe PUD,Alpine,9/2/2022,4/6/2022,Auxiliary Dam (ICR-CB03),Unknown,Region 6 - Lahontan,10/21/2022,Unknown,Indian Creek Reservoir,38.74743,-119.78287
Alpine,Indian Creek Reservoir,Boat Launch  (ICR-CB02),Caution,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3230,South Tahoe PUD,Alpine,9/2/2022,4/6/2022,Boat Launch  (ICR-CB02),Unknown,Region 6 - Lahontan,10/21/2022,Unknown,Indian Creek Reservoir,38.750681,-119.77636
Alpine,Indian Creek Reservoir,East Shore Dam near Shack  (ICR-CB01),Danger,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,"STAY OUT OF THE WATER. Do not touch scum in the water or shore. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Do not eat shellfish from this waterbody.",Danger,3229,South Tahoe Public Utility District,Alpine,9/2/2022,4/6/2022,East Shore Dam near Shack  (ICR-CB01),Unknown,Region 6 - Lahontan,10/21/2022,Unknown,Indian Creek Reservoir,38.752123,-119.77815
Alpine,Red Lake,Shoreline Point 1 (633RLS01),None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Water testing of samples resulted in no exceedance of an advisory trigger threshold.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Water testing of samples resulted in no exceedance of an advisory trigger threshold.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3314,Alpine Watershed Group,Alpine,5/19/2022,5/11/2022,Shoreline Point 1 (633RLS01),California Department of Fish and Wildlife,Region 6 - Lahontan,10/6/2022,California Department of Fish and Wildlife,Red Lake,38.698639,-119.96902
Alpine,Red Lake Creek,Red Lake Creek Nearest Red Lake,None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Water testing of samples resulted in no exceedance of an advisory trigger threshold.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Water testing of samples resulted in no exceedance of an advisory trigger threshold.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3595,,Alpine,7/28/2022,7/19/2022,Red Lake Creek Nearest Red Lake,California Department of Fish and Wildlife,Region 6 - Lahontan,10/6/2022,California Department of Fish and Wildlife,Red Lake Creek,38.7015,-119.97004
Alpine,Red Lake Shoreline Point 2,Red Lake Shoreline Near Spillway on Dam End,None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Water testing of samples resulted in no exceedance of an advisory trigger threshold.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Water testing of samples resulted in no exceedance of an advisory trigger threshold.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3594,,Alpine,7/28/2022,7/19/2022,Red Lake Shoreline Near Spillway on Dam End,California Department of Fish and Wildlife,Region 6 - Lahontan,10/6/2022,California Department of Fish and Wildlife,Red Lake Shoreline Point 2,38.70139,-119.97063
Butte,Lake Oroville,near dam,None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3271,CA Department of Water Resources,Butte,5/11/2022,4/26/2022,near dam,California Department of Water Resources,Region 5 - Central Valley,9/30/2022,California Department of Water Resources,Lake Oroville,39.5384,-121.4822
Butte,Thermalito Afterbay,swim beach,Last verified >30 days ago,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3446,Department of Water Resources (DWR),Butte,6/1/2022,5/24/2022,swim beach,,Region 5 - Central Valley,9/7/2022,,Thermalito Afterbay,39.491667,-121.66916
Butte,Thermalito Forebay,swim beach,Last verified >30 days ago,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3445,Department of Water Resources (DWR),Butte,6/1/2022,5/24/2022,swim beach,,Region 5 - Central Valley,9/7/2022,,Thermalito Forebay,39.53444,-121.5875
Calaveras,salt spring valley reservoir,campground,Last verified >30 days ago,Detail,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.; Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.","Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.; Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.",No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3680,Private,Calaveras,9/2/2022,8/28/2022,campground,,Region 5 - Central Valley,9/2/2022,,salt spring valley reservoir,38.0274,-120.7614
Colusa,Little Stony Creek Below Frenzel Creek,Little Stony Creek Below Frenzel Creek,Last verified >90 days ago,Detail,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3477,California Department of Fish and Wildlife,Colusa,6/16/2022,6/9/2022,Little Stony Creek Below Frenzel Creek,,Region 5 - Central Valley,6/16/2022,,Little Stony Creek Below Frenzel Creek,39.2911111,-122.56027
Colusa,Stoney Creek,Diversion Dam,Last verified >90 days ago,Detail,"A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.",No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3514,,Colusa,7/5/2022,7/4/2022,Diversion Dam,,Region 5 - Central Valley,7/5/2022,,Stoney Creek,39.3729419,-122.58231
Contra Costa,Clifton Court Forebay,Inlet,None,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,None,3275,CA Department of Water Resources,Contra Costa,5/11/2022,4/25/2022,Inlet,,Region 5 - Central Valley,10/17/2022,California Department of Water Resources,Clifton Court Forebay,37.8298,-121.5574
Contra Costa,Confluence of Sacramento and San Joaquin Rivers,Pittsburgh Marina,Last verified >30 days ago,Detail,Advisory is based on visual monitoring for indicators of harmful algal bloom.,Advisory is based on visual monitoring for indicators of harmful algal bloom.,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3604,DOI - USFWS,Contra Costa,8/3/2022,7/18/2022,Pittsburgh Marina,,Region 5 - Central Valley,8/3/2022,,Confluence of Sacramento and San Joaquin Rivers,38.039374,-121.88622
Contra Costa,Contra Loma Reservoir,at Regional Park,Caution,Detail,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.","Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3288,East Bay Regional Park District,Contra Costa,5/12/2022,1/3/2022,at Regional Park,East Bay Regional Park District,Region 5 - Central Valley,10/19/2022,,Contra Loma Reservoir,37.972518,-121.82366
Contra Costa,Contra Loma Reservoir,at Regional Park,Last verified >90 days ago,Detail,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Last verified >90 days ago,3118,East Bay Regional Park District,Contra Costa,1/7/2022,12/9/2021,at Regional Park,East Bay Regional Park District,Region 5 - Central Valley,4/15/2022,Unknown,Contra Loma Reservoir,37.972518,-121.82366
Contra Costa,Discovery Bay,numerous locations in Discovery Bay,Last verified >30 days ago,Detail,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Last verified >30 days ago,3474,CA State Water Resources Control Board,Contra Costa,6/15/2022,6/6/2022,numerous locations in Discovery Bay,Public entity,Region 5 - Central Valley,7/27/2022,Public entity,Discovery Bay,37.905073,-121.60307
Contra Costa,False River,near San Joaquin River (FAL),Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3183,Department of Water Resources,Contra Costa,9/19/2022,1/6/2022,near San Joaquin River (FAL),Unknown,Region 5 - Central Valley,9/30/2022,Unknown,False River,38.0558,-121.6669
Contra Costa,Franks Tract,Mid Tract (FRK),Caution,Detail,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Advisory is based on visual monitoring for indicators of harmful algal bloom.; Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.","Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.; Advisory is based on visual monitoring for indicators of harmful algal bloom.; Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.","Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Caution,3580,Department of Water Resources (DWR),Contra Costa,7/26/2022,7/13/2022,Mid Tract (FRK),,Region 5 - Central Valley,10/19/2022,,Franks Tract,38.04642,-121.5981
