OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,LatitudeMeasure,LongitudeMeasure
USGS-CA,USGS California Water Science Center,nwisca.01.02202614,Quality Control Sample-Field Replicate,Water,Surface Water,2022-03-17,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.03,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-03-24,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-03-17T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204962,Sample-Routine,Water,Surface Water,2022-08-10,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,Not Detected,Inorganic nitrogen (nitrate and nitrite),Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-09-01,NA,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-08-10T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203442,Sample-Routine,Water,Surface Water,2022-05-05,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.279,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-06-01,NA,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-05-05T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204133,Sample-Routine,Water,Surface Water,2022-06-15,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US D-96 bag sampler,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-07-13,NA,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-06-15T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204133,Sample-Routine,Water,Surface Water,2022-06-15,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.025,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-07-13,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-06-15T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02205413,Sample-Routine,Water,Surface Water,2022-09-06,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 Teflon bottle,NA,Orthophosphate,Dissolved,0.035,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-09-27,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-09-06T16:30:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202925,Sample-Routine,Water,Surface Water,2022-04-12,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 Teflon bottle,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-04-18,NA,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-04-12T16:00:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202925,Sample-Routine,Water,Surface Water,2022-04-12,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 Teflon bottle,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.749,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-04-20,NA,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-04-12T16:00:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202925,Sample-Routine,Water,Surface Water,2022-04-12,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 Teflon bottle,NA,Orthophosphate,Dissolved,0.067,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-04-18,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-04-12T16:00:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02205413,Sample-Routine,Water,Surface Water,2022-09-06,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 Teflon bottle,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.338,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-09-27,NA,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-09-06T16:30:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204959,Sample-Routine,Water,Surface Water,2022-08-09,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11303500,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),Grab sample,NA,Orthophosphate,Dissolved,0.028,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-09-02,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-08-09T16:30:00Z,NA,37.67604060000000,-121.2663293000000
USGS-CA,USGS California Water Science Center,nwisca.01.02204666,Sample-Routine,Water,Surface Water,2022-07-14,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),US DH-95 Teflon bottle,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.043,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Hold time parameters were exceeded during the collection to analysis phase of sample processing.,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-08-15,holding time exceededbelow the reporting level but at or above the detection levelsee result laboratory comment,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-07-14T16:00:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02203442,Sample-Routine,Water,Surface Water,2022-05-05,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.036,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-05-10,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-05-05T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202614,Quality Control Sample-Field Replicate,Water,Surface Water,2022-03-17,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US D-96 bag sampler,NA,Ammonia and ammonium,Dissolved,0.04,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-03-24,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-03-17T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202926,Sample-Routine,Water,Surface Water,2022-04-13,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Ammonia and ammonium,Dissolved,0.03,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,SHC02,USGS,"Ammonia, wf, DA sal/hypo (NWQL)","Analyst, 1980, v 105, p 305-316","USGS-National Water Quality Lab, Denver, CO",2022-04-18,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.02,mg/l as N,NA,NWIS,2022-04-13T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202926,Sample-Routine,Water,Surface Water,2022-04-13,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.062,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED01,USGS,"NO3+NO2, wf, FCC,NaR, DA",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2022-04-20,below the reporting level but at or above the detection level,Detection limit by DQCALC,0.04,mg/l as N,NA,NWIS,2022-04-13T16:30:00Z,NA,38.45601954000000,-121.5013437000000
USGS-CA,USGS California Water Science Center,nwisca.01.02202926,Sample-Routine,Water,Surface Water,2022-04-13,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Orthophosphate,Dissolved,0.03,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2022-04-18,NA,Detection limit by DQCALC,0.004,mg/l as P,NA,NWIS,2022-04-13T16:30:00Z,NA,38.45601954000000,-121.5013437000000
