Case_ID,CaseStartDate,WaterBodyName,Landmarks,ReportObservationDate,BloomReport_ID,CountyName,RegionName,Latitude,Longitude,WBTypeName,WaterBodyManager,RecLandManager,AdvisoryRecommendedType,AdvisoryRecommendedDate,AdvisoryLevelCurrentOnMap
1176,9/26/2022,Rae Lakes,Rae Lake Ranger Station,9/24/2022,3742,Tulare,Region 5 - Central Valley,36.80344,-118.39768,,,,Algal mat alert sign,9/26/2022,Last verified >30 days ago
1176,9/26/2022,Rae Lakes,Rae Lake Ranger Station,9/24/2022,3741,Tulare,Region 5 - Central Valley,36.80344,-118.39768,,,,Algal mat alert sign,9/26/2022,Last verified >30 days ago
1176,9/26/2022,Rae Lakes,Rae Lake Ranger Station,9/24/2022,3740,Tulare,Region 5 - Central Valley,36.80344,-118.39768,,,,Algal mat alert sign,9/26/2022,Last verified >30 days ago
1175,9/23/2022,South Fork Merced River,Wawona campground,8/29/2022,3735,Mariposa,Region 5 - Central Valley,37.544195,-119.67338,,,National Park Service,Algal mat general awareness sign,11/4/2022,Algal mat general awareness sign
1174,9/23/2022,Tuolumne River,Pate valley,8/30/2022,3736,Mariposa,Region 5 - Central Valley,37.93204,-119.594,,,National Park Service,Algal mat alert sign,11/4/2022,Algal mat alert sign
1174,9/23/2022,Tuolumne River,Highway 120 Bridge,9/13/2022,3789,Tuolumne,Region 5 - Central Valley,37.87626,-119.35491,,,,Algal mat alert sign,11/4/2022,Algal mat alert sign
1173,9/22/2022,Baker Pond,Baker Pond,9/8/2022,3732,Riverside,Region 8 - Santa Ana,33.693108,-117.3518,,,,Caution,10/11/2022,Last verified >30 days ago
1172,9/22/2022,Gunnerson Pond,Gunnerson Pond,9/8/2022,3731,Riverside,Region 8 - Santa Ana,33.690536,-117.3541,,,,Caution,10/11/2022,Last verified >30 days ago
1171,9/21/2022,Scott River,Jones Beach,8/8/2022,3730,Siskiyou,Region 1 - North Coast,41.63987,-123.06041,,United States Forest Service,United States Forest Service,Algal mat alert sign,10/6/2022,Last verified >30 days ago
1171,9/21/2022,Scott River,Indian Scotty Campground,8/8/2022,3729,Siskiyou,Region 1 - North Coast,41.633057,-123.08286,,United States Forest Service,United States Forest Service,Algal mat alert sign,10/6/2022,Last verified >30 days ago
1170,9/16/2022,North Natomas Regional Park,Park pond,9/12/2022,3725,Sacramento,Region 5 - Central Valley,38.664653,-121.51029,,,City Department,Caution,9/15/2022,Last verified >30 days ago
1169,9/16/2022,Silver Fork American River,Silver Fork American River at Silver Fork Rd.,9/6/2022,3727,El Dorado,Region 5 - Central Valley,38.69487,-120.20136,,,,Algal mat alert sign,9/16/2022,Last verified >30 days ago
1168,9/14/2022,Palacio Del Mar waterways,Palacio Del Mar Recreation Center near overpass,8/9/2022,3719,San Diego,Region 9 - San Diego,32.9423,-117.2118,,,,None,9/14/2022,Last verified >30 days ago
1166,9/12/2022,Barney Lake,"North side of lake closest to Duck Pass trail, farthest end of lake from Duck Pass",9/11/2022,3717,Mono,Region 6 - Lahontan,37.566364,-118.96918,,,,Caution,9/13/2022,Last verified >30 days ago
1165,9/13/2022,Cold Stream,"Cold Stream, upper gravel pit",9/1/2022,3721,Placer,Region 6 - Lahontan,39.3003,-120.25211,,,,Algal mat alert sign,9/13/2022,Last verified >30 days ago
1164,9/13/2022,Prosser Creek,"Prosser Cr, below confluence",8/30/2022,3720,Nevada,Region 6 - Lahontan,39.3828,-120.22514,,,,Algal mat alert sign,9/30/2022,Last verified >30 days ago
1163,9/9/2022,Frenchman Lake,Cove near Campground ,9/2/2022,3716,Plumas,Region 5 - Central Valley,39.899506,-120.17905,,,,None,11/10/2022,None
1162,9/9/2022,Lake Davis,Jenkins point,9/8/2022,3714,Plumas,Region 5 - Central Valley,39.905268,-120.51011,,,,None,11/10/2022,None
1161,9/8/2022,Retention Ponds and Waterway in Folsom,Rowberry Dr,9/5/2022,3696,Sacramento,Region 5 - Central Valley,38.646102,-121.1358,,,,Caution,9/8/2022,Last verified >30 days ago
1160,9/8/2022,Lake Siskiyou,Boat Launch,8/25/2022,3705,Siskiyou,Region 5 - Central Valley,41.28231,-122.34532,,,,None,9/8/2022,Last verified >30 days ago
1160,9/8/2022,Lake Siskiyou,Meadows,8/25/2022,3706,Siskiyou,Region 5 - Central Valley,41.286,-122.339,,,,None,9/8/2022,Last verified >30 days ago
1160,9/8/2022,Lake Siskiyou,Cable Beach,8/25/2022,3707,Siskiyou,Region 5 - Central Valley,41.27869,-122.33477,,,,None,9/8/2022,Last verified >30 days ago
1160,9/8/2022,Box Canyon,Dam North Side,8/25/2022,3708,Siskiyou,Region 5 - Central Valley,41.27991,-122.32983,,,,None,9/8/2022,Last verified >30 days ago
1159,9/8/2022,Little Lost Man Creek ,Little Lost Man Creek ~0.3mi above Hwy 101,8/24/2022,3704,Humboldt,Region 1 - North Coast,41.326973,-124.02387,,,,None,9/8/2022,Last verified >30 days ago
1157,9/7/2022,San Pablo Bay ,Tubbs Island ,9/1/2022,3701,Sonoma,Region 2 - San Francisco Bay,38.1215308,-122.43379,,,,Caution,9/7/2022,Last verified >30 days ago
1153,9/2/2022,Sherman Lake,Sherman Island County Park Boat Ramp,8/19/2022,3691,Sacramento,Region 5 - Central Valley,38.05608,-121.78558,,,,Caution,9/2/2022,Last verified >30 days ago
1152,9/2/2022,Sacramento River,Brannan Island State Recreation Area,8/19/2022,3690,Sacramento,Region 5 - Central Valley,38.11667,-121.68381,,,,Caution,9/2/2022,Last verified >30 days ago
1151,9/2/2022,Sacramento River,Sandy Beach,8/19/2022,3689,Solano,Region 5 - Central Valley,38.13889,-121.69534,,,,Caution,9/2/2022,Last verified >30 days ago
1150,9/2/2022,Little Potato Slough,Tower Park Marina,8/19/2022,3687,San Joaquin,Region 5 - Central Valley,38.10994,-121.50019,,,,Caution,9/2/2022,Last verified >30 days ago
1149,9/2/2022,Sacramento River Deepwater Ship Canal,near Prospect Island (CCH),8/23/2022,3683,Solano,Region 5 - Central Valley,38.19396,-121.658,,,,None,9/2/2022,Last verified >30 days ago
1149,9/2/2022,Sacramento River Deepwater Ship Canal,near Prospect Island (CCH),8/23/2022,3683,Solano,Region 5 - Central Valley,38.19396,-121.658,,,,None,9/2/2022,Last verified >30 days ago
1148,9/2/2022,Prospect Slough,South end of Slough (LIB),8/23/2022,3685,Solano,Region 5 - Central Valley,38.24301,-121.6843,,,,None,9/2/2022,Last verified >30 days ago
1147,9/2/2022,Prospect Slough,Courtland Rd. (TOE),8/22/2022,3684,Yolo,Region 5 - Central Valley,38.34917,-121.6447,,,,None,9/2/2022,Last verified >30 days ago
1146,9/1/2022,Huichica Pond 8,Huichica pond near Napa River,5/1/2022,3682,Napa,Region 2 - San Francisco Bay,38.201344,-122.3185,Wetland,,California Department of Fish and Wildlife,Danger,9/2/2022,Last verified >30 days ago
1144,9/2/2022,salt spring valley reservoir,campground,8/28/2022,3680,Calaveras,Region 5 - Central Valley,38.0274,-120.7614,,,,Caution,9/2/2022,Last verified >30 days ago
1142,9/1/2022,Fourteen Mile/White Slough,Village West Marina and Resort behind the marina in the slough and in front of the marina gas dock,8/28/2022,3676,San Joaquin,Region 5 - Central Valley,38.0015884,-121.37082,,,,Caution,9/1/2022,Last verified >30 days ago
1142,9/1/2022,White Slough,King Island Marina Boat Launch,8/19/2022,3686,San Joaquin,Region 5 - Central Valley,38.058707,-121.45862,,,,Caution,9/2/2022,Last verified >30 days ago
1141,8/29/2022,Redwood Creek,Blu Harbor Marina,8/29/2022,3663,San Mateo,Region 2 - San Francisco Bay,37.5013,-122.2217,,,,Caution,8/29/2022,Last verified >30 days ago
1140,8/29/2022,Stonegate Lake,Midlake,8/18/2022,3670,Yolo,Region 5 - Central Valley,38.552332,-121.78975,,,,Caution,8/29/2022,Last verified >30 days ago
1140,8/29/2022,Stonegate Lake,Wading Area,10/11/2022,3782,Yolo,Region 5 - Central Valley,38.552098,-121.78912,,,,General awareness,10/28/2022,General awareness
1140,8/29/2022,Stonegate Lake,Outlet,10/11/2022,3783,Yolo,Region 5 - Central Valley,38.549961,-121.78935,,,,General awareness,10/28/2022,General awareness
1139,8/29/2022,Sweetwater River, at Morrison Pond just upstream of Sweetwater Road,8/17/2022,3665,San Diego,Region 9 - San Diego,32.67292,-117.02381,Wadeable stream,City Department,City Department,Caution,8/29/2022,Last verified >30 days ago
1139,8/29/2022,Sweetwater River, at Morrison Pond just upstream of Sweetwater Road,8/17/2022,3665,San Diego,Region 9 - San Diego,32.67292,-117.02381,Wadeable stream,City Department,City Department,Caution,8/29/2022,Last verified >30 days ago
1138,8/25/2022,South San Francisco Bay,Dumbarton Bridge,8/25/2022,3662,Alameda,Region 2 - San Francisco Bay,37.510825,-122.11111,,,,Caution,8/25/2022,Last verified >30 days ago
1137,8/25/2022,"San Francisco Bay, Central",Point Richmond Pier,8/19/2022,3659,Contra Costa,Region 2 - San Francisco Bay,37.915152,-122.39002,,,,Caution,8/25/2022,Last verified >30 days ago
1136,8/25/2022,San Luis Rey River estuary,San Luis Rey River estuary at the mouth,8/24/2022,3660,San Diego,Region 9 - San Diego,33.20335,-117.39044,Wadeable stream,City Department,City Department,None,9/28/2022,Last verified >30 days ago
1135,8/25/2022,San Francisco Bay (Lower),Coyote Point Marina,8/24/2022,3658,San Mateo,Region 2 - San Francisco Bay,37.590935,-122.31851,,,,Caution,8/25/2022,Last verified >30 days ago
1134,8/25/2022,South Fork Merced River,SF ~1.25mi above Chilnualna Cr.,8/16/2022,3656,Mariposa,Region 5 - Central Valley,37.5379827,-119.61683,,,,None,8/25/2022,Last verified >30 days ago
1134,8/25/2022,Merced River,Happy Isles Bridge,8/29/2022,3733,Mariposa,Region 5 - Central Valley,37.7324928,-119.55853,Wadeable stream,,National Park Service,Algal mat general awareness sign,11/4/2022,Algal mat general awareness sign
1134,8/25/2022,Merced River,Pohono Bridge,8/29/2022,3734,Mariposa,Region 5 - Central Valley,37.71674,-119.66623,,,National Park Service,Algal mat general awareness sign,11/4/2022,Algal mat general awareness sign
1134,8/25/2022,Merced River,El Portal,8/30/2022,3737,Mariposa,Region 5 - Central Valley,37.66944,-119.817,,,,Algal mat alert sign,11/4/2022,Algal mat alert sign
1134,8/25/2022,Merced River,Superintendents bridge,8/29/2022,3738,Mariposa,Region 5 - Central Valley,37.74316,-119.593,,,,Algal mat alert sign,9/27/2022,Last verified >30 days ago
1133,8/24/2022,Middle Fork San Joaquin River,Base of Rainbow Falls,8/9/2022,3654,Madera,Region 5 - Central Valley,37.601556,-119.08506,,,,Algal mat alert sign,9/27/2022,Last verified >30 days ago
1133,8/24/2022,Middle Fork San Joaquin River,near Devil's Postpile Campground,8/30/2022,3722,Madera,Region 5 - Central Valley,37.63243,-119.08601,,,,Algal mat general awareness sign,9/13/2022,Last verified >30 days ago
1132,8/23/2022,Alder Creek,Ash Mountain Housing,7/28/2022,3651,Tulare,Region 5 - Central Valley,36.496464,-118.82557,,,,Algal mat alert sign,8/23/2022,Last verified >30 days ago
1131,8/23/2022,South Fork Kings River ,Muir Rock,8/3/2022,3649,Tulare,Region 5 - Central Valley,36.793221,-118.58357,,,,Algal mat alert sign,8/23/2022,Last verified >30 days ago
1130,8/22/2022,Lake Britton Northshore,Lake Britton,8/15/2022,3643,Shasta,Region 5 - Central Valley,41.033632,-121.6498,,,,Caution,8/23/2022,Last verified >30 days ago
1128,8/19/2022,Star Lake,Outflow to Cold Creek,8/7/2022,3645,El Dorado,Region 6 - Lahontan,38.876658,-119.89041,Lake,,,None,8/19/2022,Last verified >90 days ago
1126,8/15/2022,South Fork Eel River,near Redway,7/31/2022,3633,Humboldt,Region 1 - North Coast,40.125803,-123.82558,,,County Environmental Health Department,Algal mat alert sign,8/15/2022,Last verified >90 days ago
1126,8/15/2022,South Fork Eel River,1/4 Mile Monitoring Site,9/12/2022,3746,Humboldt,Region 1 - North Coast,39.998946,-123.78361,,Private entity,County Environmental Health Department,Algal mat alert sign,10/18/2022,Last verified >30 days ago
1126,8/15/2022,South Fork Eel River,1/2 Mile Monitoring Site,9/12/2022,3747,Humboldt,Region 1 - North Coast,40.000786,-123.77778,,Private entity,County Environmental Health Department,Algal mat alert sign,10/18/2022,Last verified >30 days ago
1126,8/15/2022,South Fork Eel River,1 Mile Monitoring Site,9/12/2022,3748,Humboldt,Region 1 - North Coast,40.005142,-123.77789,,Private entity,County Environmental Health Department,Algal mat alert sign,10/18/2022,Last verified >30 days ago
1126,8/15/2022,South Fork Eel River,2 Mile Monitoring Site,9/12/2022,3749,Humboldt,Region 1 - North Coast,40.012905,-123.7886,,Private entity,County Environmental Health Department,Algal mat alert sign,10/18/2022,Last verified >30 days ago
1126,8/15/2022,South Fork Eel River,5 Mile Monitoring Site,9/12/2022,3750,Humboldt,Region 1 - North Coast,40.033732,-123.77615,,Private entity,County Environmental Health Department,Algal mat alert sign,10/18/2022,Last verified >30 days ago
1126,8/15/2022,South Fork Eel River,9 Mile Monitoring Site,9/12/2022,3751,Humboldt,Region 1 - North Coast,40.065996,-123.79199,,Private entity,County Environmental Health Department,Algal mat alert sign,10/18/2022,Last verified >30 days ago
1124,8/12/2022,Paulin Creek,Hidden Valley Park,8/12/2022,3626,Sonoma,Region 1 - North Coast,38.475357,-122.70209,,City Department,City Department,None,8/18/2022,Last verified >90 days ago
1123,8/12/2022,Lopez Lake,Lopez Lake,8/11/2022,3624,San Luis Obispo,Region 3 - Central Coast,35.188019,-120.48253,,,,NA - refer to Report Details,10/19/2022,NA - refer to Report Details
1122,8/11/2022,Camden Lake,S of Camden Park Small Island,6/28/2022,3622,Sacramento,Region 5 - Central Valley,38.4249192,-121.37802,,,,Danger,8/11/2022,Last verified >90 days ago
1122,8/11/2022,Camden Lake,near Alister Way (Weir),9/19/2022,3771,Sacramento,Region 5 - Central Valley,38.429108,-121.38515,,,,Warning,10/18/2022,Last verified >30 days ago
1121,8/11/2022,Dollar Creek Reservior,Dollar bike path where it crosses Dollar Creek,8/4/2022,3611,Placer,Region 6 - Lahontan,39.201108,-120.10874,,,,None,8/24/2022,Last verified >30 days ago
1119,8/5/2022,Lake Merritt,Lake Merritt at Lakeshore Ave. near Boden Way,6/20/2022,3494,Alameda,Region 2 - San Francisco Bay,37.807125,-122.25015,,,City Department,Caution,9/16/2022,Last verified >30 days ago
1119,8/5/2022,Lake Merritt,Lake Merritt shoreline between 1200 and 1400 Lakeshore Avenue,8/5/2022,3609,Alameda,Region 2 - San Francisco Bay,37.799679,-122.25843,,City Department,City Department,NA - refer to Report Details,8/8/2022,Last verified >90 days ago
1119,8/5/2022,Lake Merritt,Lake Merritt Boating Center,8/24/2022,3657,Alameda,Region 2 - San Francisco Bay,37.80501,-122.25747,,,,Caution,9/16/2022,Last verified >30 days ago
1119,8/5/2022,Lake Merritt,Lake Merritt Ampitheater,8/29/2022,3726,Alameda,Region 2 - San Francisco Bay,37.79952,-122.26149,,City Department,City Department,Caution,9/16/2022,Last verified >30 days ago
1118,8/10/2022,Mare Island Shoreline Heritage Preserve, ordnance pond  at Mare Island Shoreline Heritage Preserve,8/8/2022,3618,Solano,Region 2 - San Francisco Bay,38.076667,-122.25344,,,,Caution,8/19/2022,Last verified >90 days ago
1117,8/8/2022,Poore Creek,"Poore Cr, above fence",8/2/2022,3615,Mono,Region 6 - Lahontan,38.33157,-119.53222,,,,None,8/2/2022,Last verified >90 days ago
1116,8/4/2022,"El Dorado Park ponds, Long Beach","Long Beach, CA 90808",7/25/2022,3603,Los Angeles,Region 4 - Los Angeles,33.80097,-118.09646,,,,Caution,8/4/2022,Last verified >90 days ago
1116,8/4/2022,"El Dorado Park ponds, Long Beach","Long Beach, CA 90808",7/25/2022,3603,Los Angeles,Region 4 - Los Angeles,33.80097,-118.09646,,,,Caution,8/4/2022,Last verified >90 days ago
1116,8/4/2022,"El Dorado Park ponds, Long Beach","Long Beach, CA 90808",7/25/2022,3603,Los Angeles,Region 4 - Los Angeles,33.80097,-118.09646,,,,Caution,8/4/2022,Last verified >90 days ago
1115,8/4/2022,"General Cr, below loop road","General Cr, below loop road",7/26/2022,3608,El Dorado,Region 6 - Lahontan,39.04401,-120.14319,,,,Algal mat alert sign,8/4/2022,Last verified >90 days ago
1114,8/4/2022,"Cascade Creek, below Snow Lake","Cascade Creek, below Snow Lake",7/25/2022,3607,El Dorado,Region 6 - Lahontan,38.92463,-120.1093,,,,None,8/4/2022,Last verified >90 days ago
1113,8/3/2022,Confluence of Sacramento and San Joaquin Rivers,Pittsburgh Marina,7/18/2022,3604,Contra Costa,Region 5 - Central Valley,38.039374,-121.88622,,,,Caution,8/3/2022,Last verified >90 days ago
1110,7/29/2022,Sonoma Creek ,below Adobe Cyn. Rd. and Godspeed Trail,7/19/2022,3599,Sonoma,Region 2 - San Francisco Bay,38.44264,-122.53139,,,California State Parks,None,9/22/2022,Last verified >30 days ago
1109,7/29/2022,Oregon Creek ,0.85 mi downstream Gale Creek,7/18/2022,3598,Placer,Region 5 - Central Valley,39.46556,-120.96694,,,National Park Service,None,9/30/2022,Last verified >30 days ago
1108,7/28/2022,Little Truckee River,Boyington Mill Campground,7/28/2022,3596,Nevada,Region 6 - Lahontan,39.439238,-120.0959,,,,Caution,7/28/2022,Last verified >90 days ago
1108,7/28/2022,Little Truckee River,Little Truckee River about 1-2 miles north of Boyingtom Mill Campground,7/24/2022,3587,Nevada,Region 6 - Lahontan,39.439238,-120.0959,,,,None,8/5/2022,Last verified >90 days ago
1104,7/22/2022,Rice  Creek,North arm near town of Mineral,7/13/2022,3581,Lassen,Region 5 - Central Valley,40.4002,-121.439,,National Park Service,National Park Service,Algal mat alert sign,7/22/2022,Last verified >90 days ago
1103,7/21/2022,Franks Tract,Mid-Tract (D19),7/19/2022,3578,Contra Costa,Region 5 - Central Valley,38.04376,-121.6148,,,,Caution,8/3/2022,Last verified >90 days ago
1103,7/21/2022,Franks Tract,Mid Tract (FRK),7/13/2022,3580,Contra Costa,Region 5 - Central Valley,38.04642,-121.5981,,,,Caution,10/19/2022,Caution
1102,7/21/2022,Los Banos Creek Reservoir,Los Banos Creek Boat Launch,7/17/2022,3565,Merced,Region 5 - Central Valley,36.98671,-120.9397,,,,Caution,10/18/2022,Last verified >30 days ago
1102,7/21/2022,Los Banos Creek Reservoir,Campground beach,7/21/2022,3582,Merced,Region 5 - Central Valley,36.986214,-120.93894,Reservoir,California Department of Water Resources,California State Parks,Caution,10/18/2022,Last verified >30 days ago
1100,7/19/2022,Spring Lake,Lakewide,7/15/2022,3563,Sonoma,Region 1 - North Coast,38.453602,-122.6526,,Local Park and Recreation Department,County Environmental Health Department,None,11/7/2022,None
1099,7/18/2022,Kaweah River,Approximately 1 mile from Dinely Bridge,7/15/2022,3558,Tulare,Region 5 - Central Valley,36.4618,-118.88466,,,,None,11/14/2022,None
1099,7/18/2022,Three Rivers,Slick Rock Boating Dock Bathrooms,7/19/2022,3571,Tulare,Region 5 - Central Valley,36.415146,-118.93468,,,,None,11/1/2022,None
1099,7/18/2022,Kaweah River ,Sequoia RV ranch on north fork Kaweah River,7/19/2022,3574,Tulare,Region 5 - Central Valley,36.468922,-118.91353,,,Private entity,None,11/14/2022,None
1099,7/18/2022,Kaweah River,Ash Mountain Visitor Center,7/21/2022,3583,Tulare,Region 5 - Central Valley,36.489745,-118.82324,,,National Park Service,Caution,7/22/2022,Last verified >90 days ago
1099,7/18/2022,Kaweah River,Marble Fork of Kaweah River at Potwisha Campground,7/21/2022,3585,Tulare,Region 5 - Central Valley,36.515307,-118.80215,,,National Park Service,Caution,7/22/2022,Last verified >90 days ago
1099,7/18/2022,Kaweah River,Comfort Inn and Suites Sequoia Kings Canyon,7/25/2022,3586,Tulare,Region 5 - Central Valley,36.4251053,-118.91608,,,,Caution,7/25/2022,Last verified >90 days ago
1099,7/18/2022,Marble Fork Kaweah River,Lodgepole Campground,7/26/2022,3601,Tulare,Region 5 - Central Valley,36.611398,-118.70139,,,,Algal mat alert sign,8/1/2022,Last verified >90 days ago
1099,7/18/2022,North Fork Kaweah River,Near Confluence of Yucca Creek,7/27/2022,3602,Tulare,Region 5 - Central Valley,36.54579,-118.89654,,,,Algal mat alert sign,8/1/2022,Last verified >90 days ago
1099,7/18/2022,South Fork Kaweah River,South Fork Campground,8/4/2022,3648,Tulare,Region 5 - Central Valley,36.350217,-118.76645,,,,Algal mat alert sign,8/23/2022,Last verified >30 days ago
1099,7/18/2022,East Fork Kaweah River,Last Bridge up Mineral King Rd.,8/1/2022,3650,Tulare,Region 5 - Central Valley,36.450142,-118.59534,,,,Algal mat alert sign,8/23/2022,Last verified >30 days ago
1099,7/18/2022,Kaweah River,Slick Rock Recreation Area,6/24/2022,3569,Tulare,Region 5 - Central Valley,36.412014,-118.93799,,,,None,11/14/2022,None
1099,7/18/2022,Kaweah River,White Horse Inn,10/8/2022,3762,Tulare,Region 5 - Central Valley,36.454916,-118.88945,,,,Algal mat alert sign,10/10/2022,Last verified >30 days ago
1098,7/18/2022,Sacramento River,Sundial Bridge,7/11/2022,3559,Shasta,Region 5 - Central Valley,40.592,-122.3765,,,,None,7/18/2022,Last verified >90 days ago
1097,7/18/2022,Lake California,West end of South Marina Way (LCA-1),7/11/2022,3560,Tehama,Region 5 - Central Valley,40.34777,-122.198,,,,None,7/18/2022,Last verified >90 days ago
1096,7/15/2022,Lake Nagasawa,Lakewide,7/15/2022,3553,Sonoma,Region 1 - North Coast,38.486046,-122.71639,,City Department,County Environmental Health Department,NA - refer to Report Details,7/15/2022,Last verified >90 days ago
1095,7/15/2022,Mokelumne River,Delta Paradise Island Marina,7/13/2022,3552,Sacramento,Region 5 - Central Valley,38.123463,-121.58467,,,,Caution,7/15/2022,Last verified >90 days ago
1095,7/15/2022,Mokelumne River,B &W Resort Marina,8/19/2022,3688,Sacramento,Region 5 - Central Valley,38.12747,-121.58048,,,,Caution,9/2/2022,Last verified >30 days ago
1094,7/13/2022,Rock Creek,~5.7mi above Jennie Creek,7/6/2022,3544,Lassen,Region 5 - Central Valley,40.3887,-121.1574,Wadeable stream,,National Park Service,None,7/13/2022,Last verified >90 days ago
1093,7/13/2022,Contempo Marin Lagoon,Contempo Marin Clubhouse 400 yosemite rd san rafael,7/13/2022,3542,Marin,Region 2 - San Francisco Bay,38.013,-122.53118,,,,Caution,7/13/2022,Last verified >90 days ago
1092,7/12/2022,St. Helena Creek,At Hwy29/Hilderbrand Dr. (SHC2),5/24/2022,3534,Lake,Region 5 - Central Valley,38.704167,-122.60388,,,County Environmental Health Department,Algal mat alert sign,7/12/2022,Last verified >90 days ago
1091,7/8/2022,Skyline Ponds,Case Mountain BLM Trailhead at the end of Skyline Drive.,7/8/2022,3530,Tulare,Region 5 - Central Valley,36.45055,-118.86336,Lake,,National Park Service,Warning,8/11/2022,Last verified >90 days ago
1090,7/8/2022,Nelson Creek,Nelson Creek ~0.4mi above Fish Cr.,6/29/2022,3533,Plumas,Region 5 - Central Valley,39.8046142,-120.81358,,,,None,7/8/2022,Last verified >90 days ago
1089,7/8/2022,Florentine Arm Jamison Creek ,Florentine Arm Jamison Creek above mainstem,6/27/2022,3532,Plumas,Region 5 - Central Valley,39.7321088,-120.72493,,,,None,7/8/2022,Last verified >90 days ago
1088,7/8/2022,Little Grizzly Creek ,Little Grizzly Creek ~2.1mi below Oliver Cr.,6/28/2022,3531,Plumas,Region 5 - Central Valley,39.9982,-120.7378,,,,None,7/8/2022,Last verified >90 days ago
1087,7/7/2022,"Mill Creek, Forest Falls","Mill Creek, Forest Falls",6/23/2022,3529,San Bernardino,Region 8 - Santa Ana,34.08807,-116.91489,,,,Algal mat alert sign,7/7/2022,Last verified >90 days ago
1086,7/7/2022,Yucaipa Regional Park,Yucaipa Regional Park Middle Lake - SE corner,6/23/2022,3528,San Bernardino,Region 8 - Santa Ana,34.05505,-117.04735,,Unknown,Local Park and Recreation Department,Danger,9/2/2022,Last verified >30 days ago
1086,7/7/2022,Yucaipa Regional Park,Yucaipa Regional Park Lower Lake,8/23/2022,3679,San Bernardino,Region 8 - Santa Ana,34.05215,-117.04982,,,Local Park and Recreation Department,Danger,11/4/2022,Danger
1085,7/7/2022,St. Claire Creek above SF Salmon River,St. Claire Creek above SF Salmon River,6/23/2022,3527,Siskiyou,Region 1 - North Coast,41.1406891,-123.17273,,,,None,7/7/2022,Last verified >90 days ago
1084,7/7/2022,"Salmon River, SF above Grizzly Creek","Salmon River, SF above Grizzly Creek",6/22/2022,3526,Siskiyou,Region 1 - North Coast,41.079977,-123.02911,,,,None,7/7/2022,Last verified >90 days ago
1083,7/7/2022,Cherry Creek above Little North Fork Salmon R.,Cherry Creek above Little North Fork Salmon R.,6/21/2022,3525,Siskiyou,Region 1 - North Coast,41.3647222,-123.18805,,,,None,7/7/2022,Last verified >90 days ago
1082,7/6/2022,Owens River,Pleasant Valley Campground Site 26,6/28/2022,3524,Inyo,Region 6 - Lahontan,37.4077447,-118.50715,,,,None,7/6/2022,Last verified >90 days ago
1081,7/6/2022,South Fork Eel River,Standish-Hickey State Recreation Area,7/5/2022,3523,Mendocino,Region 1 - North Coast,39.87548,-123.72556,,California State Parks,County Environmental Health Department,Algal mat alert sign,11/14/2022,Algal mat alert sign
1081,7/6/2022,South Fork Eel River,Standish-Hickey State Recreation Area,7/5/2022,3523,Mendocino,Region 1 - North Coast,39.87548,-123.72556,,California State Parks,County Environmental Health Department,Algal mat alert sign,11/14/2022,Algal mat alert sign
1081,7/6/2022,South Fork Eel River,Standish-Hickey State Recreation Area,7/5/2022,3523,Mendocino,Region 1 - North Coast,39.87548,-123.72556,,California State Parks,County Environmental Health Department,Algal mat alert sign,11/14/2022,Algal mat alert sign
